Date : 2024-03-17 23:49:27
Directory : /opt/projects/swiftkube
Total : 8871 files,  2953166 codes, 17663 comments, 334877 blanks, all 3305706 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /opt/projects/swiftkube/vendor/github.com/moby/sys/mountinfo/mountinfo_openbsd.go                                                                       | Go               |          9 |          0 |          3 |         12 |
| /opt/projects/swiftkube/vendor/github.com/moby/sys/mountinfo/mountinfo_unsupported.go                                                                   | Go               |         14 |          0 |          6 |         20 |
| /opt/projects/swiftkube/vendor/github.com/moby/sys/mountinfo/mountinfo_windows.go                                                                       | Go               |          8 |          0 |          3 |         11 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/ascii.go                                                                                            | Go               |         63 |          0 |          4 |         67 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/proxy.go                                                                                            | Go               |         76 |          0 |         13 |         89 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/tc.go                                                                                               | Go               |         16 |          0 |          5 |         21 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/term.go                                                                                             | Go               |         85 |          0 |         16 |        101 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/term_windows.go                                                                                     | Go               |        190 |          0 |         38 |        228 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/termios.go                                                                                          | Go               |         29 |          0 |          8 |         37 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/termios_bsd.go                                                                                      | Go               |         10 |          0 |          4 |         14 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/termios_nonbsd.go                                                                                   | Go               |         10 |          0 |          4 |         14 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/windows/ansi_reader.go                                                                              | Go               |        216 |          0 |         37 |        253 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/windows/ansi_writer.go                                                                              | Go               |         47 |          0 |         11 |         58 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/windows/console.go                                                                                  | Go               |         32 |          0 |          9 |         41 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/windows/doc.go                                                                                      | Go               |          4 |          0 |          2 |          6 |
| /opt/projects/swiftkube/vendor/github.com/moby/term/winsize.go                                                                                          | Go               |         17 |          0 |          5 |         22 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/concurrent/executor.go                                                                              | Go               |         12 |          0 |          3 |         15 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/concurrent/go_above_19.go                                                                           | Go               |         11 |          0 |          5 |         16 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/concurrent/go_below_19.go                                                                           | Go               |         27 |          0 |          7 |         34 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/concurrent/log.go                                                                                   | Go               |         10 |          0 |          3 |         13 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/concurrent/unbounded_executor.go                                                                    | Go               |        109 |          0 |         11 |        120 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/go_above_118.go                                                                            | Go               |         19 |          0 |          4 |         23 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/go_above_19.go                                                                             | Go               |         12 |          0 |          6 |         18 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/go_below_118.go                                                                            | Go               |         17 |          0 |          4 |         21 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/reflect2.go                                                                                | Go               |        269 |          0 |         32 |        301 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/reflect2_kind.go                                                                           | Go               |         27 |          0 |          4 |         31 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/safe_field.go                                                                              | Go               |         45 |          0 |         14 |         59 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/safe_map.go                                                                                | Go               |         85 |          0 |         17 |        102 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/safe_slice.go                                                                              | Go               |         74 |          0 |         19 |         93 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/safe_struct.go                                                                             | Go               |         24 |          0 |          6 |         30 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/safe_type.go                                                                               | Go               |         60 |          0 |         19 |         79 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/type_map.go                                                                                | Go               |         59 |          0 |         12 |         71 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/unsafe_array.go                                                                            | Go               |         55 |          0 |         11 |         66 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/unsafe_eface.go                                                                            | Go               |         49 |          0 |         11 |         60 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/unsafe_field.go                                                                            | Go               |         60 |          0 |         15 |         75 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/unsafe_iface.go                                                                            | Go               |         54 |          0 |         11 |         65 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/unsafe_link.go                                                                             | Go               |         64 |          0 |         13 |         77 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/unsafe_map.go                                                                              | Go               |        109 |          0 |         22 |        131 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/unsafe_ptr.go                                                                              | Go               |         38 |          0 |          9 |         47 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/unsafe_slice.go                                                                            | Go               |        152 |          0 |         26 |        178 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/unsafe_struct.go                                                                           | Go               |         49 |          0 |         11 |         60 |
| /opt/projects/swiftkube/vendor/github.com/modern-go/reflect2/unsafe_type.go                                                                             | Go               |         70 |          0 |         16 |         86 |
| /opt/projects/swiftkube/vendor/github.com/mohae/deepcopy/deepcopy.go                                                                                    | Go               |         97 |          0 |         16 |        113 |
| /opt/projects/swiftkube/vendor/github.com/monochromegane/go-gitignore/depth_holder.go                                                                   | Go               |         68 |          0 |         12 |         80 |
| /opt/projects/swiftkube/vendor/github.com/monochromegane/go-gitignore/full_scan_patterns.go                                                             | Go               |         26 |          0 |          6 |         32 |
| /opt/projects/swiftkube/vendor/github.com/monochromegane/go-gitignore/gitignore.go                                                                      | Go               |         68 |          0 |         13 |         81 |
| /opt/projects/swiftkube/vendor/github.com/monochromegane/go-gitignore/index_scan_patterns.go                                                            | Go               |         29 |          0 |          7 |         36 |
| /opt/projects/swiftkube/vendor/github.com/monochromegane/go-gitignore/initial_holder.go                                                                 | Go               |         51 |          0 |         12 |         63 |
| /opt/projects/swiftkube/vendor/github.com/monochromegane/go-gitignore/match.go                                                                          | Go               |         18 |          0 |          7 |         25 |
| /opt/projects/swiftkube/vendor/github.com/monochromegane/go-gitignore/pattern.go                                                                        | Go               |         57 |          0 |         13 |         70 |
| /opt/projects/swiftkube/vendor/github.com/monochromegane/go-gitignore/patterns.go                                                                       | Go               |         18 |          0 |          5 |         23 |
| /opt/projects/swiftkube/vendor/github.com/monochromegane/go-gitignore/util.go                                                                           | Go               |         39 |          0 |          7 |         46 |
| /opt/projects/swiftkube/vendor/github.com/mrunalp/fileutils/fileutils.go                                                                                | Go               |        142 |          0 |         27 |        169 |
| /opt/projects/swiftkube/vendor/github.com/mrunalp/fileutils/idtools.go                                                                                  | Go               |         49 |          0 |          6 |         55 |
| /opt/projects/swiftkube/vendor/github.com/munnerz/goautoneg/autoneg.go                                                                                  | Go               |        162 |          0 |         28 |        190 |
| /opt/projects/swiftkube/vendor/github.com/mxk/go-flowrate/flowrate/flowrate.go                                                                          | Go               |        243 |          0 |         25 |        268 |
| /opt/projects/swiftkube/vendor/github.com/mxk/go-flowrate/flowrate/io.go                                                                                | Go               |        115 |          0 |         19 |        134 |
| /opt/projects/swiftkube/vendor/github.com/mxk/go-flowrate/flowrate/util.go                                                                              | Go               |         55 |          0 |         13 |         68 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/go-digest/algorithm.go                                                                         | Go               |        165 |          0 |         29 |        194 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/go-digest/digest.go                                                                            | Go               |        132 |          0 |         26 |        158 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/go-digest/digester.go                                                                          | Go               |         34 |          0 |          7 |         41 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/go-digest/doc.go                                                                               | Go               |         61 |          0 |          2 |         63 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/go-digest/verifiers.go                                                                         | Go               |         39 |          0 |          8 |         47 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/apparmor/apparmor.go                                                         | Go               |         12 |          0 |          5 |         17 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/apparmor/apparmor_linux.go                                                   | Go               |         57 |          0 |         12 |         69 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/apparmor/apparmor_unsupported.go                                             | Go               |         12 |          0 |          4 |         16 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/capabilities/capabilities.go                                                 | Go               |        109 |          0 |         15 |        124 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/capabilities/capabilities_unsupported.go                                     | Go               |          3 |          0 |          2 |          5 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/cgroups.go                                                           | Go               |         45 |          0 |         15 |         60 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/devices/devices_emulator.go                                          | Go               |        349 |          0 |         38 |        387 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/ebpf/devicefilter/devicefilter.go                                    | Go               |        192 |          0 |         17 |        209 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/ebpf/ebpf_linux.go                                                   | Go               |        237 |          0 |         17 |        254 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/file.go                                                              | Go               |        169 |          0 |         22 |        191 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/blkio.go                                                          | Go               |        287 |          0 |         25 |        312 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/cpu.go                                                            | Go               |        117 |          0 |         13 |        130 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/cpuacct.go                                                        | Go               |        140 |          0 |         27 |        167 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/cpuset.go                                                         | Go               |        213 |          0 |         33 |        246 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/devices.go                                                        | Go               |         96 |          0 |         14 |        110 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/error.go                                                          | Go               |         11 |          0 |          5 |         16 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/freezer.go                                                        | Go               |        146 |          0 |         13 |        159 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/fs.go                                                             | Go               |        230 |          0 |         36 |        266 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/hugetlb.go                                                        | Go               |         50 |          0 |         13 |         63 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/memory.go                                                         | Go               |        304 |          0 |         45 |        349 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/name.go                                                           | Go               |         25 |          0 |          7 |         32 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/net_cls.go                                                        | Go               |         24 |          0 |          9 |         33 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/net_prio.go                                                       | Go               |         23 |          0 |          8 |         31 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/paths.go                                                          | Go               |        154 |          0 |         33 |        187 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/perf_event.go                                                     | Go               |         18 |          0 |          7 |         25 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/pids.go                                                           | Go               |         50 |          0 |         13 |         63 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs/rdma.go                                                           | Go               |         19 |          0 |          7 |         26 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs2/cpu.go                                                           | Go               |         73 |          0 |         15 |         88 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs2/cpuset.go                                                        | Go               |         24 |          0 |          5 |         29 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs2/create.go                                                        | Go               |        138 |          0 |         15 |        153 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs2/defaultpath.go                                                   | Go               |         84 |          0 |         16 |        100 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs2/devices.go                                                       | Go               |         68 |          0 |          8 |         76 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs2/freezer.go                                                       | Go               |        115 |          0 |         13 |        128 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs2/fs2.go                                                           | Go               |        231 |          0 |         29 |        260 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs2/hugetlb.go                                                       | Go               |         39 |          0 |         10 |         49 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs2/io.go                                                            | Go               |        178 |          0 |         16 |        194 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs2/memory.go                                                        | Go               |        189 |          0 |         28 |        217 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fs2/pids.go                                                          | Go               |         62 |          0 |         11 |         73 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fscommon/rdma.go                                                     | Go               |        106 |          0 |         16 |        122 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/fscommon/utils.go                                                    | Go               |        124 |          0 |         22 |        146 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/getallpids.go                                                        | Go               |         25 |          0 |          3 |         28 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/manager/new.go                                                       | Go               |         69 |          0 |         10 |         79 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/stats.go                                                             | Go               |        155 |          0 |         19 |        174 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/systemd/common.go                                                    | Go               |        506 |          0 |         55 |        561 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/systemd/cpuset.go                                                    | Go               |         55 |          0 |          6 |         61 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/systemd/dbus.go                                                      | Go               |         91 |          0 |         12 |        103 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/systemd/user.go                                                      | Go               |         99 |          0 |          8 |        107 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/systemd/v1.go                                                        | Go               |        405 |          0 |         67 |        472 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/systemd/v2.go                                                        | Go               |        402 |          0 |         71 |        473 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/utils.go                                                             | Go               |        424 |          0 |         46 |        470 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/cgroups/v1_utils.go                                                          | Go               |        238 |          0 |         53 |        291 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/blkio_device.go                                                      | Go               |         56 |          0 |         11 |         67 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/cgroup_linux.go                                                      | Go               |        115 |          0 |         44 |        159 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/cgroup_unsupported.go                                                | Go               |          7 |          0 |          3 |         10 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/config.go                                                            | Go               |        341 |          0 |         74 |        415 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/config_linux.go                                                      | Go               |         61 |          0 |          8 |         69 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/configs_fuzzer.go                                                    | Go               |          8 |          0 |          3 |         11 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/hugepage_limit.go                                                    | Go               |          7 |          0 |          3 |         10 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/intelrdt.go                                                          | Go               |         13 |          0 |          4 |         17 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/interface_priority_map.go                                            | Go               |         11 |          0 |          4 |         15 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/mount.go                                                             | Go               |         34 |          0 |         15 |         49 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/namespaces.go                                                        | Go               |          3 |          0 |          3 |          6 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/namespaces_linux.go                                                  | Go               |        113 |          0 |         14 |        127 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/namespaces_syscall.go                                                | Go               |         28 |          0 |          6 |         34 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/namespaces_syscall_unsupported.go                                    | Go               |         11 |          0 |          4 |         15 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/namespaces_unsupported.go                                            | Go               |          6 |          0 |          3 |          9 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/network.go                                                           | Go               |         59 |          0 |         17 |         76 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/rdma.go                                                              | Go               |          8 |          0 |          2 |         10 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/validate/rootless.go                                                 | Go               |         81 |          0 |         13 |         94 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/configs/validate/validator.go                                                | Go               |        263 |          0 |         36 |        299 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/console_linux.go                                                             | Go               |         37 |          0 |          5 |         42 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/container.go                                                                 | Go               |        107 |          0 |         24 |        131 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/container_linux.go                                                           | Go               |      2,050 |          0 |        222 |      2,272 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/criu_opts_linux.go                                                           | Go               |         30 |          0 |          5 |         35 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/devices/device.go                                                            | Go               |        146 |          0 |         29 |        175 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/devices/device_unix.go                                                       | Go               |        109 |          0 |         12 |        121 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/eaccess_go119.go                                                             | Go               |         13 |          0 |          5 |         18 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/eaccess_stub.go                                                              | Go               |          8 |          0 |          3 |         11 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/error.go                                                                     | Go               |         11 |          0 |          3 |         14 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/factory.go                                                                   | Go               |         25 |          0 |          6 |         31 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/factory_linux.go                                                             | Go               |        379 |          0 |         45 |        424 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/init_linux.go                                                                | Go               |        534 |          0 |         60 |        594 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/intelrdt/cmt.go                                                              | Go               |         18 |          0 |          6 |         24 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/intelrdt/intelrdt.go                                                         | Go               |        673 |          0 |         89 |        762 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/intelrdt/mbm.go                                                              | Go               |         26 |          0 |          6 |         32 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/intelrdt/monitoring.go                                                       | Go               |         69 |          0 |         15 |         84 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/intelrdt/stats.go                                                            | Go               |         43 |          0 |         15 |         58 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/keys/keyctl.go                                                               | Go               |         36 |          0 |         10 |         46 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/logs/logs.go                                                                 | Go               |         47 |          0 |         10 |         57 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/message_linux.go                                                             | Go               |         85 |          0 |         13 |         98 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/mount_linux.go                                                               | Go               |         73 |          0 |         11 |         84 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/network_linux.go                                                             | Go               |         87 |          0 |         14 |        101 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/notify_linux.go                                                              | Go               |         72 |          0 |         13 |         85 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/notify_v2_linux.go                                                           | Go               |         75 |          0 |          6 |         81 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/process.go                                                                   | Go               |         98 |          0 |         29 |        127 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/process_linux.go                                                             | Go               |        733 |          0 |         89 |        822 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/restored_process.go                                                          | Go               |        105 |          0 |         24 |        129 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/rootfs_linux.go                                                              | Go               |      1,065 |          0 |        102 |      1,167 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/seccomp/config.go                                                            | Go               |        101 |          0 |         12 |        113 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/seccomp/patchbpf/enosys_linux.go                                             | Go               |        638 |          0 |         69 |        707 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/seccomp/patchbpf/enosys_unsupported.go                                       | Go               |          3 |          0 |          2 |          5 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/seccomp/seccomp_linux.go                                                     | Go               |        230 |          0 |         39 |        269 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/seccomp/seccomp_unsupported.go                                               | Go               |         21 |          0 |          8 |         29 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/setns_init_linux.go                                                          | Go               |         96 |          0 |         10 |        106 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/standard_init_linux.go                                                       | Go               |        236 |          0 |         27 |        263 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/state_linux.go                                                               | Go               |        208 |          0 |         36 |        244 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/stats_linux.go                                                               | Go               |         11 |          0 |          3 |         14 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/sync.go                                                                      | Go               |        109 |          0 |         18 |        127 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/system/linux.go                                                              | Go               |         84 |          0 |         21 |        105 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/system/proc.go                                                               | Go               |        110 |          0 |         18 |        128 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/system/syscall_linux_32.go                                                   | Go               |         23 |          0 |          5 |         28 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/system/syscall_linux_64.go                                                   | Go               |         23 |          0 |          5 |         28 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/user/lookup_unix.go                                                          | Go               |        130 |          0 |         28 |        158 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/user/user.go                                                                 | Go               |        523 |          0 |         83 |        606 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/user/user_fuzzer.go                                                          | Go               |         31 |          0 |         13 |         44 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/userns/userns.go                                                             | Go               |          4 |          0 |          2 |          6 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/userns/userns_fuzzer.go                                                      | Go               |         12 |          0 |          5 |         17 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/userns/userns_linux.go                                                       | Go               |         32 |          0 |          6 |         38 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/userns/userns_unsupported.go                                                 | Go               |         14 |          0 |          5 |         19 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/utils/cmsg.go                                                                | Go               |         82 |          0 |         15 |         97 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/utils/utils.go                                                               | Go               |        149 |          0 |         19 |        168 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/libcontainer/utils/utils_unix.go                                                          | Go               |         61 |          0 |          9 |         70 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runc/types/events.go                                                                           | Go               |        130 |          0 |         26 |        156 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runtime-spec/specs-go/config.go                                                                | Go               |        704 |          0 |         72 |        776 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runtime-spec/specs-go/state.go                                                                 | Go               |         48 |          0 |          9 |         57 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/runtime-spec/specs-go/version.go                                                               | Go               |         14 |          0 |          5 |         19 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/selinux/go-selinux/doc.go                                                                      | Go               |         10 |          0 |          5 |         15 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/selinux/go-selinux/label/label.go                                                              | Go               |         80 |          0 |         18 |         98 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/selinux/go-selinux/label/label_linux.go                                                        | Go               |        177 |          0 |         20 |        197 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/selinux/go-selinux/label/label_stub.go                                                         | Go               |         39 |          0 |         11 |         50 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/selinux/go-selinux/rchcon.go                                                                   | Go               |         18 |          0 |          5 |         23 |
| /opt/projects/swiftkube/vendor/github.com/opencontainers/selinux/go-selinux/rchcon_go115.go                                                             | Go               |         17 |          0 |          5 |         22 |
