Date : 2024-03-17 23:49:27
Directory : /opt/projects/swiftkube
Total : 8871 files,  2953166 codes, 17663 comments, 334877 blanks, all 3305706 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| pkg/generated/clientset/versioned                                                                                                                       |         13 |        589 |          0 |        117 |        706 |
| pkg/generated/clientset/versioned (Files)                                                                                                               |          1 |         87 |          0 |         18 |        105 |
| pkg/generated/clientset/versioned/fake                                                                                                                  |          3 |         96 |          0 |         20 |        116 |
| pkg/generated/clientset/versioned/scheme                                                                                                                |          2 |         38 |          0 |          8 |         46 |
| pkg/generated/clientset/versioned/typed                                                                                                                 |          7 |        368 |          0 |         71 |        439 |
| pkg/generated/clientset/versioned/typed/swiftdeploymentcontroller                                                                                       |          7 |        368 |          0 |         71 |        439 |
| pkg/generated/clientset/versioned/typed/swiftdeploymentcontroller/v1alpha1                                                                              |          7 |        368 |          0 |         71 |        439 |
| pkg/generated/clientset/versioned/typed/swiftdeploymentcontroller/v1alpha1 (Files)                                                                      |          4 |        246 |          0 |         37 |        283 |
| pkg/generated/clientset/versioned/typed/swiftdeploymentcontroller/v1alpha1/fake                                                                         |          3 |        122 |          0 |         34 |        156 |
| pkg/generated/informers                                                                                                                                 |          6 |        365 |          0 |         79 |        444 |
| pkg/generated/informers/externalversions                                                                                                                |          6 |        365 |          0 |         79 |        444 |
| pkg/generated/informers/externalversions (Files)                                                                                                        |          2 |        236 |          0 |         47 |        283 |
| pkg/generated/informers/externalversions/internalinterfaces                                                                                             |          1 |         18 |          0 |          7 |         25 |
| pkg/generated/informers/externalversions/swiftdeploymentcontroller                                                                                      |          3 |        111 |          0 |         25 |        136 |
| pkg/generated/informers/externalversions/swiftdeploymentcontroller (Files)                                                                              |          1 |         24 |          0 |          7 |         31 |
| pkg/generated/informers/externalversions/swiftdeploymentcontroller/v1alpha1                                                                             |          2 |         87 |          0 |         18 |        105 |
| pkg/generated/listers                                                                                                                                   |          2 |         80 |          0 |         16 |         96 |
| pkg/generated/listers/swiftdeploymentcontroller                                                                                                         |          2 |         80 |          0 |         16 |         96 |
| pkg/generated/listers/swiftdeploymentcontroller/v1alpha1                                                                                                |          2 |         80 |          0 |         16 |         96 |
| pkg/podmanager                                                                                                                                          |          3 |        739 |          0 |        153 |        892 |
| pkg/signals                                                                                                                                             |          2 |         29 |          0 |          9 |         38 |
| pkg/swiftlet                                                                                                                                            |          1 |        258 |          0 |         48 |        306 |
| vendor                                                                                                                                                  |      8,825 |  2,948,223 |     17,663 |    334,178 |  3,300,064 |
| vendor/cloud.google.com                                                                                                                                 |          5 |        633 |          0 |         96 |        729 |
| vendor/cloud.google.com/go                                                                                                                              |          5 |        633 |          0 |         96 |        729 |
| vendor/cloud.google.com/go/compute                                                                                                                      |          5 |        633 |          0 |         96 |        729 |
| vendor/cloud.google.com/go/compute/internal                                                                                                             |          1 |         16 |          0 |          3 |         19 |
| vendor/cloud.google.com/go/compute/metadata                                                                                                             |          4 |        617 |          0 |         93 |        710 |
| vendor/github.com                                                                                                                                       |      2,178 |    645,655 |        613 |     96,752 |    743,020 |
| vendor/github.com/Azure                                                                                                                                 |        271 |    152,529 |          0 |     16,813 |    169,342 |
| vendor/github.com/Azure/azure-sdk-for-go                                                                                                                |        199 |    141,775 |          0 |     15,226 |    157,001 |
| vendor/github.com/Azure/azure-sdk-for-go/services                                                                                                       |        170 |    135,043 |          0 |     14,187 |    149,230 |
| vendor/github.com/Azure/azure-sdk-for-go/services/compute                                                                                               |         34 |     31,216 |          0 |      3,253 |     34,469 |
| vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt                                                                                          |         34 |     31,216 |          0 |      3,253 |     34,469 |
| vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01                                                                               |         34 |     31,216 |          0 |      3,253 |     34,469 |
| vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute                                                                       |         34 |     31,216 |          0 |      3,253 |     34,469 |
| vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry                                                                                     |         10 |      8,711 |          0 |        946 |      9,657 |
| vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt                                                                                |         10 |      8,711 |          0 |        946 |      9,657 |
| vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01                                                                     |         10 |      8,711 |          0 |        946 |      9,657 |
| vendor/github.com/Azure/azure-sdk-for-go/services/containerregistry/mgmt/2019-05-01/containerregistry                                                   |         10 |      8,711 |          0 |        946 |      9,657 |
| vendor/github.com/Azure/azure-sdk-for-go/services/containerservice                                                                                      |          9 |      6,824 |          0 |        679 |      7,503 |
| vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt                                                                                 |          9 |      6,824 |          0 |        679 |      7,503 |
| vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt/2020-04-01                                                                      |          9 |      6,824 |          0 |        679 |      7,503 |
| vendor/github.com/Azure/azure-sdk-for-go/services/containerservice/mgmt/2020-04-01/containerservice                                                     |          9 |      6,824 |          0 |        679 |      7,503 |
| vendor/github.com/Azure/azure-sdk-for-go/services/network                                                                                               |         86 |     70,658 |          0 |      7,283 |     77,941 |
| vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt                                                                                          |         86 |     70,658 |          0 |      7,283 |     77,941 |
| vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01                                                                               |         86 |     70,658 |          0 |      7,283 |     77,941 |
| vendor/github.com/Azure/azure-sdk-for-go/services/network/mgmt/2019-06-01/network                                                                       |         86 |     70,658 |          0 |      7,283 |     77,941 |
| vendor/github.com/Azure/azure-sdk-for-go/services/resources                                                                                             |         10 |      5,645 |          0 |        665 |      6,310 |
| vendor/github.com/Azure/azure-sdk-for-go/services/resources/mgmt                                                                                        |         10 |      5,645 |          0 |        665 |      6,310 |
| vendor/github.com/Azure/azure-sdk-for-go/services/resources/mgmt/2017-05-10                                                                             |         10 |      5,645 |          0 |        665 |      6,310 |
| vendor/github.com/Azure/azure-sdk-for-go/services/resources/mgmt/2017-05-10/resources                                                                   |         10 |      5,645 |          0 |        665 |      6,310 |
| vendor/github.com/Azure/azure-sdk-for-go/services/storage                                                                                               |         21 |     11,989 |          0 |      1,361 |     13,350 |
| vendor/github.com/Azure/azure-sdk-for-go/services/storage/mgmt                                                                                          |         21 |     11,989 |          0 |      1,361 |     13,350 |
| vendor/github.com/Azure/azure-sdk-for-go/services/storage/mgmt/2019-06-01                                                                               |         21 |     11,989 |          0 |      1,361 |     13,350 |
| vendor/github.com/Azure/azure-sdk-for-go/services/storage/mgmt/2019-06-01/storage                                                                       |         21 |     11,989 |          0 |      1,361 |     13,350 |
| vendor/github.com/Azure/azure-sdk-for-go/storage                                                                                                        |         28 |      6,727 |          0 |      1,036 |      7,763 |
| vendor/github.com/Azure/azure-sdk-for-go/version                                                                                                        |          1 |          5 |          0 |          3 |          8 |
| vendor/github.com/Azure/go-ansiterm                                                                                                                     |         22 |      2,235 |          0 |        436 |      2,671 |
| vendor/github.com/Azure/go-ansiterm (Files)                                                                                                             |         14 |        800 |          0 |        185 |        985 |
| vendor/github.com/Azure/go-ansiterm/winterm                                                                                                             |          8 |      1,435 |          0 |        251 |      1,686 |
| vendor/github.com/Azure/go-autorest                                                                                                                     |         50 |      8,519 |          0 |      1,151 |      9,670 |
| vendor/github.com/Azure/go-autorest (Files)                                                                                                             |          1 |         17 |          0 |          2 |         19 |
| vendor/github.com/Azure/go-autorest/autorest                                                                                                            |         45 |      8,108 |          0 |      1,087 |      9,195 |
| vendor/github.com/Azure/go-autorest/autorest (Files)                                                                                                    |         17 |      2,760 |          0 |        374 |      3,134 |
| vendor/github.com/Azure/go-autorest/autorest/adal                                                                                                       |          9 |      2,046 |          0 |        274 |      2,320 |
| vendor/github.com/Azure/go-autorest/autorest/azure                                                                                                      |          5 |      1,944 |          0 |        224 |      2,168 |
| vendor/github.com/Azure/go-autorest/autorest/date                                                                                                       |          6 |        401 |          0 |         76 |        477 |
| vendor/github.com/Azure/go-autorest/autorest/mocks                                                                                                      |          3 |        372 |          0 |         65 |        437 |
| vendor/github.com/Azure/go-autorest/autorest/to                                                                                                         |          2 |        152 |          0 |         26 |        178 |
| vendor/github.com/Azure/go-autorest/autorest/validation                                                                                                 |          3 |        433 |          0 |         48 |        481 |
| vendor/github.com/Azure/go-autorest/logger                                                                                                              |          2 |        316 |          0 |         47 |        363 |
| vendor/github.com/Azure/go-autorest/tracing                                                                                                             |          2 |         78 |          0 |         15 |         93 |
| vendor/github.com/GoogleCloudPlatform                                                                                                                   |         17 |     39,211 |          0 |      5,262 |     44,473 |
| vendor/github.com/GoogleCloudPlatform/k8s-cloud-provider                                                                                                |         17 |     39,211 |          0 |      5,262 |     44,473 |
| vendor/github.com/GoogleCloudPlatform/k8s-cloud-provider/pkg                                                                                            |         17 |     39,211 |          0 |      5,262 |     44,473 |
| vendor/github.com/GoogleCloudPlatform/k8s-cloud-provider/pkg/cloud                                                                                      |         17 |     39,211 |          0 |      5,262 |     44,473 |
| vendor/github.com/GoogleCloudPlatform/k8s-cloud-provider/pkg/cloud (Files)                                                                              |         10 |     36,229 |          0 |      4,896 |     41,125 |
| vendor/github.com/GoogleCloudPlatform/k8s-cloud-provider/pkg/cloud/filter                                                                               |          1 |        283 |          0 |         39 |        322 |
| vendor/github.com/GoogleCloudPlatform/k8s-cloud-provider/pkg/cloud/meta                                                                                 |          5 |      1,742 |          0 |        118 |      1,860 |
| vendor/github.com/GoogleCloudPlatform/k8s-cloud-provider/pkg/cloud/mock                                                                                 |          1 |        957 |          0 |        209 |      1,166 |
| vendor/github.com/JeffAshton                                                                                                                            |          1 |        409 |          0 |         45 |        454 |
| vendor/github.com/JeffAshton/win_pdh                                                                                                                    |          1 |        409 |          0 |         45 |        454 |
| vendor/github.com/MakeNowJust                                                                                                                           |          1 |         91 |          0 |         15 |        106 |
| vendor/github.com/MakeNowJust/heredoc                                                                                                                   |          1 |         91 |          0 |         15 |        106 |
| vendor/github.com/Microsoft                                                                                                                             |        230 |     14,860 |          0 |      2,735 |     17,595 |
| vendor/github.com/Microsoft/go-winio                                                                                                                    |         25 |      3,647 |          0 |        558 |      4,205 |
| vendor/github.com/Microsoft/go-winio (Files)                                                                                                            |         13 |      2,536 |          0 |        365 |      2,901 |
| vendor/github.com/Microsoft/go-winio/internal                                                                                                           |          3 |        231 |          0 |         43 |        274 |
| vendor/github.com/Microsoft/go-winio/internal/socket                                                                                                    |          3 |        231 |          0 |         43 |        274 |
| vendor/github.com/Microsoft/go-winio/pkg                                                                                                                |          7 |        448 |          0 |         95 |        543 |
| vendor/github.com/Microsoft/go-winio/pkg/guid                                                                                                           |          4 |        243 |          0 |         49 |        292 |
| vendor/github.com/Microsoft/go-winio/pkg/security                                                                                                       |          3 |        205 |          0 |         46 |        251 |
| vendor/github.com/Microsoft/go-winio/vhd                                                                                                                |          2 |        432 |          0 |         55 |        487 |
| vendor/github.com/Microsoft/hcsshim                                                                                                                     |        205 |     11,213 |          0 |      2,177 |     13,390 |
| vendor/github.com/Microsoft/hcsshim (Files)                                                                                                             |         13 |        928 |          0 |        244 |      1,172 |
| vendor/github.com/Microsoft/hcsshim/computestorage                                                                                                      |         12 |        804 |          0 |        112 |        916 |
| vendor/github.com/Microsoft/hcsshim/internal                                                                                                            |        178 |      9,409 |          0 |      1,803 |     11,212 |
| vendor/github.com/Microsoft/hcsshim/internal/cow                                                                                                        |          1 |         92 |          0 |          6 |         98 |
| vendor/github.com/Microsoft/hcsshim/internal/hcs                                                                                                        |        116 |      3,552 |          0 |        939 |      4,491 |
| vendor/github.com/Microsoft/hcsshim/internal/hcs (Files)                                                                                                |          7 |      1,536 |          0 |        304 |      1,840 |
| vendor/github.com/Microsoft/hcsshim/internal/hcs/schema1                                                                                                |          1 |        222 |          0 |         29 |        251 |
| vendor/github.com/Microsoft/hcsshim/internal/hcs/schema2                                                                                                |        108 |      1,794 |          0 |        606 |      2,400 |
| vendor/github.com/Microsoft/hcsshim/internal/hcserror                                                                                                   |          1 |         41 |          0 |          7 |         48 |
| vendor/github.com/Microsoft/hcsshim/internal/hns                                                                                                        |         10 |        948 |          0 |        186 |      1,134 |
| vendor/github.com/Microsoft/hcsshim/internal/interop                                                                                                    |          2 |         56 |          0 |         17 |         73 |
| vendor/github.com/Microsoft/hcsshim/internal/log                                                                                                        |          1 |         20 |          0 |          4 |         24 |
| vendor/github.com/Microsoft/hcsshim/internal/logfields                                                                                                  |          1 |         22 |          0 |         11 |         33 |
| vendor/github.com/Microsoft/hcsshim/internal/longpath                                                                                                   |          1 |         22 |          0 |          3 |         25 |
| vendor/github.com/Microsoft/hcsshim/internal/mergemaps                                                                                                  |          1 |         49 |          0 |          4 |         53 |
| vendor/github.com/Microsoft/hcsshim/internal/oc                                                                                                         |          2 |         53 |          0 |          9 |         62 |
| vendor/github.com/Microsoft/hcsshim/internal/safefile                                                                                                   |          1 |        340 |          0 |         36 |        376 |
| vendor/github.com/Microsoft/hcsshim/internal/timeout                                                                                                    |          1 |         59 |          0 |         16 |         75 |
| vendor/github.com/Microsoft/hcsshim/internal/vmcompute                                                                                                  |          2 |      1,076 |          0 |        117 |      1,193 |
| vendor/github.com/Microsoft/hcsshim/internal/wclayer                                                                                                    |         22 |      2,235 |          0 |        312 |      2,547 |
| vendor/github.com/Microsoft/hcsshim/internal/winapi                                                                                                     |         16 |        844 |          0 |        136 |        980 |
| vendor/github.com/Microsoft/hcsshim/osversion                                                                                                           |          2 |         72 |          0 |         18 |         90 |
| vendor/github.com/NYTimes                                                                                                                               |          2 |        495 |          0 |         82 |        577 |
| vendor/github.com/NYTimes/gziphandler                                                                                                                   |          2 |        495 |          0 |         82 |        577 |
| vendor/github.com/antlr                                                                                                                                 |         48 |     11,931 |          0 |      2,355 |     14,286 |
| vendor/github.com/antlr/antlr4                                                                                                                          |         48 |     11,931 |          0 |      2,355 |     14,286 |
| vendor/github.com/antlr/antlr4/runtime                                                                                                                  |         48 |     11,931 |          0 |      2,355 |     14,286 |
| vendor/github.com/antlr/antlr4/runtime/Go                                                                                                               |         48 |     11,931 |          0 |      2,355 |     14,286 |
| vendor/github.com/antlr/antlr4/runtime/Go/antlr                                                                                                         |         48 |     11,931 |          0 |      2,355 |     14,286 |
| vendor/github.com/antlr/antlr4/runtime/Go/antlr/v4                                                                                                      |         48 |     11,931 |          0 |      2,355 |     14,286 |
| vendor/github.com/armon                                                                                                                                 |          1 |         79 |          0 |         14 |         93 |
| vendor/github.com/armon/circbuf                                                                                                                         |          1 |         79 |          0 |         14 |         93 |
| vendor/github.com/asaskevich                                                                                                                            |          8 |      2,295 |          0 |        260 |      2,555 |
| vendor/github.com/asaskevich/govalidator                                                                                                                |          8 |      2,295 |          0 |        260 |      2,555 |
| vendor/github.com/beorn7                                                                                                                                |          1 |        282 |          0 |         35 |        317 |
| vendor/github.com/beorn7/perks                                                                                                                          |          1 |        282 |          0 |         35 |        317 |
| vendor/github.com/beorn7/perks/quantile                                                                                                                 |          1 |        282 |          0 |         35 |        317 |
| vendor/github.com/blang                                                                                                                                 |          5 |        852 |          0 |        126 |        978 |
| vendor/github.com/blang/semver                                                                                                                          |          5 |        852 |          0 |        126 |        978 |
| vendor/github.com/blang/semver/v4                                                                                                                       |          5 |        852 |          0 |        126 |        978 |
| vendor/github.com/cenkalti                                                                                                                              |          7 |        505 |          0 |        107 |        612 |
| vendor/github.com/cenkalti/backoff                                                                                                                      |          7 |        505 |          0 |        107 |        612 |
| vendor/github.com/cenkalti/backoff/v4                                                                                                                   |          7 |        505 |          0 |        107 |        612 |
| vendor/github.com/cespare                                                                                                                               |          5 |        338 |          0 |         60 |        398 |
| vendor/github.com/cespare/xxhash                                                                                                                        |          5 |        338 |          0 |         60 |        398 |
| vendor/github.com/cespare/xxhash/v2                                                                                                                     |          5 |        338 |          0 |         60 |        398 |
| vendor/github.com/chai2010                                                                                                                              |         26 |      2,633 |          0 |        303 |      2,936 |
| vendor/github.com/chai2010/gettext-go                                                                                                                   |         26 |      2,633 |          0 |        303 |      2,936 |
| vendor/github.com/chai2010/gettext-go (Files)                                                                                                           |          9 |        946 |          0 |        146 |      1,092 |
| vendor/github.com/chai2010/gettext-go/mo                                                                                                                |          6 |        592 |          0 |         61 |        653 |
| vendor/github.com/chai2010/gettext-go/plural                                                                                                            |          3 |        259 |          0 |         16 |        275 |
| vendor/github.com/chai2010/gettext-go/po                                                                                                                |          8 |        836 |          0 |         80 |        916 |
| vendor/github.com/checkpoint-restore                                                                                                                    |          5 |      2,482 |          1 |        369 |      2,852 |
| vendor/github.com/checkpoint-restore/go-criu                                                                                                            |          5 |      2,482 |          1 |        369 |      2,852 |
| vendor/github.com/checkpoint-restore/go-criu/v5                                                                                                         |          5 |      2,482 |          1 |        369 |      2,852 |
| vendor/github.com/checkpoint-restore/go-criu/v5 (Files)                                                                                                 |          3 |        307 |          0 |         67 |        374 |
| vendor/github.com/checkpoint-restore/go-criu/v5/rpc                                                                                                     |          2 |      2,175 |          1 |        302 |      2,478 |
| vendor/github.com/cilium                                                                                                                                |         74 |     15,754 |          0 |      2,783 |     18,537 |
| vendor/github.com/cilium/ebpf                                                                                                                           |         74 |     15,754 |          0 |      2,783 |     18,537 |
| vendor/github.com/cilium/ebpf (Files)                                                                                                                   |         12 |      4,988 |          0 |        858 |      5,846 |
| vendor/github.com/cilium/ebpf/asm                                                                                                                       |         14 |      2,172 |          0 |        323 |      2,495 |
| vendor/github.com/cilium/ebpf/btf                                                                                                                       |         10 |      3,966 |          0 |        806 |      4,772 |
| vendor/github.com/cilium/ebpf/internal                                                                                                                  |         22 |      2,449 |          0 |        420 |      2,869 |
| vendor/github.com/cilium/ebpf/internal (Files)                                                                                                          |         12 |        844 |          0 |        165 |      1,009 |
| vendor/github.com/cilium/ebpf/internal/sys                                                                                                              |          8 |      1,190 |          0 |        180 |      1,370 |
| vendor/github.com/cilium/ebpf/internal/unix                                                                                                             |          2 |        415 |          0 |         75 |        490 |
| vendor/github.com/cilium/ebpf/link                                                                                                                      |         16 |      2,179 |          0 |        376 |      2,555 |
| vendor/github.com/container-storage-interface                                                                                                           |          1 |      6,512 |          0 |        693 |      7,205 |
| vendor/github.com/container-storage-interface/spec                                                                                                      |          1 |      6,512 |          0 |        693 |      7,205 |
| vendor/github.com/container-storage-interface/spec/lib                                                                                                  |          1 |      6,512 |          0 |        693 |      7,205 |
| vendor/github.com/container-storage-interface/spec/lib/go                                                                                               |          1 |      6,512 |          0 |        693 |      7,205 |
| vendor/github.com/container-storage-interface/spec/lib/go/csi                                                                                           |          1 |      6,512 |          0 |        693 |      7,205 |
| vendor/github.com/containerd                                                                                                                            |         65 |     12,867 |          7 |      1,288 |     14,162 |
| vendor/github.com/containerd/cgroups                                                                                                                    |         29 |      9,375 |          7 |        592 |      9,974 |
| vendor/github.com/containerd/cgroups (Files)                                                                                                            |         26 |      3,234 |          0 |        437 |      3,671 |
| vendor/github.com/containerd/cgroups/stats                                                                                                              |          3 |      6,141 |          7 |        155 |      6,303 |
| vendor/github.com/containerd/cgroups/stats/v1                                                                                                           |          3 |      6,141 |          7 |        155 |      6,303 |
| vendor/github.com/containerd/console                                                                                                                    |         19 |      1,312 |          0 |        285 |      1,597 |
| vendor/github.com/containerd/ttrpc                                                                                                                      |         17 |      2,180 |          0 |        411 |      2,591 |
| vendor/github.com/coreos                                                                                                                                |         13 |      2,261 |          0 |        403 |      2,664 |
